	cope_ct	cope2_zstat_std	cope2_zstat_mean	cope3_zstat_std	cope3_zstat_mean	cope4_zstat_std	cope4_zstat_mean	cope5_zstat_std	cope5_zstat_mean	cope6_zstat_std	cope6_zstat_mean	cope7_zstat_std	cope7_zstat_mean	cope8_zstat_std	cope8_zstat_mean	cope9_zstat_std	cope9_zstat_mean	cope10_zstat_std	cope10_zstat_mean	cope11_zstat_std	cope11_zstat_mean	cope12_zstat_std	cope12_zstat_mean	cope13_zstat_std	cope13_zstat_mean	cope14_zstat_std	cope14_zstat_mean	cope15_zstat_std	cope15_zstat_mean	cope16_zstat_std	cope16_zstat_mean	cope17_zstat_std	cope17_zstat_mean	cope1_zstat_std	cope1_zstat_mean
sub-071	17	-0.065730	0.596725	-0.133747	0.649104	0.002923	0.601821	0.081030	0.596278	0.131911	0.627818	0.096190	0.606710	0.030289	0.526899	0.070512	0.581271	-0.081439	0.593398	-0.017568	0.520052	-0.055400	0.570124	0.144362	0.659342	0.079059	0.518388	-0.079059	0.518388	-0.075944	0.513721	0.075944	0.513721	0.013577	0.615023
sub-072	17	0.048203	0.583417	-0.105337	0.592164	-0.053712	0.506734	-0.050741	0.563233	0.103013	0.592978	0.104487	0.562688	0.107343	0.547102	0.119682	0.567152	-0.110202	0.562800	-0.108978	0.545888	-0.124273	0.566388	0.108084	0.599713	-0.006932	0.507661	0.006932	0.507661	0.002510	0.510359	-0.002510	0.510359	0.045729	0.518851
sub-075	17	-0.058144	0.562034	-0.003143	0.524335	0.039790	0.547746	0.053282	0.547640	-0.006235	0.512232	-0.019089	0.504118	-0.029373	0.554405	-0.026878	0.523936	0.022432	0.501819	0.031310	0.550260	0.030178	0.518399	-0.020157	0.521193	0.021258	0.554727	-0.021258	0.554727	-0.019429	0.559898	0.019429	0.559898	-0.042244	0.551871
sub-076	0.0																																		
sub-078	17	-0.127511	0.680005	-0.001728	0.568289	0.080421	0.701787	0.129729	0.664854	-0.009674	0.557352	-0.053088	0.593369	-0.097551	0.596723	-0.078905	0.601019	0.055490	0.587539	0.107484	0.595290	0.086091	0.596118	-0.032404	0.581323	0.049306	0.542214	-0.049306	0.542214	-0.056524	0.544355	0.056524	0.544355	-0.087239	0.723937
sub-079	0.0																																		
sub-080	17	0.009361	0.591428	-0.066879	0.538265	-0.142886	0.587860	-0.003282	0.561947	0.061446	0.533790	0.155687	0.568949	0.049369	0.507882	0.114674	0.536174	-0.151726	0.557509	-0.042479	0.489532	-0.108942	0.516739	0.055751	0.531215	0.121271	0.555919	-0.121271	0.555919	-0.123544	0.558914	0.123544	0.558914	0.143729	0.604993
sub-082	17	0.013945	0.472115	-0.077871	0.566619	0.054679	0.633242	-0.016932	0.459689	0.067814	0.539974	0.006156	0.571054	0.064846	0.480542	0.039735	0.529908	-0.003295	0.566550	-0.060934	0.475863	-0.035871	0.525070	0.068084	0.553174	-0.062587	0.526707	0.062587	0.526707	0.060750	0.523016	-0.060750	0.523016	-0.059165	0.646881
sub-083	17	0.055661	0.680184	0.037626	0.697621	0.050270	0.707464	-0.054037	0.674373	-0.034407	0.712786	-0.059940	0.733147	0.013744	0.661827	-0.023718	0.727772	0.059417	0.723331	-0.012998	0.657023	0.024010	0.720214	-0.045182	0.717446	-0.094564	0.548734	0.094564	0.548734	0.092239	0.547682	-0.092239	0.547682	-0.050061	0.726986
sub-084	17	-0.020013	0.575334	-0.065079	0.502816	0.058421	0.530147	0.023706	0.562845	0.052069	0.490387	-0.003451	0.515638	0.016252	0.528013	0.004996	0.528367	0.008196	0.509891	-0.006669	0.522728	0.002829	0.522774	0.040131	0.513979	-0.024812	0.510393	0.024812	0.510393	0.020082	0.505834	-0.020082	0.505834	-0.059841	0.561297
