	img_vol_task-training_run-1	anat_task-training_run-1	epi_task-training_run-1	sdc_task-training_run-1	fd_spikes_9mm_task-training_run-1	fd_spikes_9mm_ct_task-training_run-1	fd_max_task-training_run-1	fd_min_task-training_run-1	fd_3mm_check_task-training_run-1	fd_3mm_frame_ct_task-training_run-1	img_vol_task-training_run-2	anat_task-training_run-2	epi_task-training_run-2	sdc_task-training_run-2	fd_spikes_9mm_task-training_run-2	fd_spikes_9mm_ct_task-training_run-2	fd_max_task-training_run-2	fd_min_task-training_run-2	fd_3mm_check_task-training_run-2	fd_3mm_frame_ct_task-training_run-2	img_vol_task-training_run-3	anat_task-training_run-3	epi_task-training_run-3	sdc_task-training_run-3	fd_spikes_9mm_task-training_run-3	fd_spikes_9mm_ct_task-training_run-3	fd_max_task-training_run-3	fd_min_task-training_run-3	fd_3mm_check_task-training_run-3	fd_3mm_frame_ct_task-training_run-3	img_vol_task-training_run-4	anat_task-training_run-4	epi_task-training_run-4	sdc_task-training_run-4	fd_spikes_9mm_task-training_run-4	fd_spikes_9mm_ct_task-training_run-4	fd_max_task-training_run-4	fd_min_task-training_run-4	fd_3mm_check_task-training_run-4	fd_3mm_frame_ct_task-training_run-4
sub-130	233				pass	0	0.7471698999999999	0.022788750000000024	pass	186	233				pass	0	0.64424753	0.019628181	pass	195	233				pass	0	0.63878284	0.044443299999999984	pass	198	233				pass	0	0.45177365	0.032559740000000004	pass	219
sub-131	233				pass	3	1.0543544	0.020755499999999958	fail	174	233				pass	4	1.8305659000000003	0.007987400000000004	pass	182	233				pass	2	1.068103851	0.02359400000000001	pass	182	233				pass	3	1.5783040000000002	0.03317081500000001	pass	185
sub-132	233				pass	0	0.4484960499999999	0.02639298	pass	217	233				pass	0	0.39167755	0.029839004999999988	pass	222	233				pass	0	0.549476405	0.026797875	pass	224	233				pass	0	0.41122970000000003	0.01930545	pass	228
sub-133	233				pass	14	2.0922343999999997	0.035031400000000004	fail	99	233				pass	7	1.49418027	0.029794825	fail	161	233				pass	2	1.0151989	0.02289877000000001	pass	179	233				pass	4	1.1956966999999998	0.014920410000000004	pass	185
sub-134	233				pass	0	0.41278145	0.025032545	pass	228	233				pass	0	0.3736611500000001	0.03094459999999996	pass	228	233				pass	0	0.4104494000000001	0.025212449999999983	pass	229	233				pass	0	0.86645017	0.0273587103	pass	199
sub-135	233				pass	2	1.5264700000000002	0.03125070000000004	pass	177	233				pass	0	0.81629078	0.008853750000000011	pass	214	233				pass	0	0.84233565	0.0181986	pass	194	233				pass	0	0.7931567499999999	0.01709735	pass	214
sub-136	233				pass	0	0.488568125	0.020871299999999968	pass	224	233				pass	0	0.31097515	0.02011050000000001	pass	231	233				pass	0	0.45607767	0.021464127000000003	pass	218	233				pass	0	0.6227073000000001	0.029275165	pass	210
sub-137	233				pass	0	0.67461564	0.023480799999999986	pass	217	233				pass	0	0.646703	0.03884807500000001	pass	212	233				pass	0	0.8862768999999999	0.03662280000000003	pass	207	233				pass	0	0.8479215	0.009095900000000032	pass	220
sub-138	233				pass	0	0.7618636249999999	0.016582960000000004	pass	190	233				pass	13	4.618304600000001	0.01898950000000004	fail	166	233				pass	0	0.899601	0.0285525000000002	pass	175	233				pass	1	1.1592805	0.03403499999999993	pass	178
sub-140	233				pass	0	0.4827766499999999	0.03455019999999997	pass	202	233				pass	0	0.61528825	0.05429036999999999	pass	187	233				pass	0	0.6487890449999999	0.03323629999999999	fail	164	233				pass	0	0.6680238500000001	0.03290125999999999	pass	195
sub-141	233				pass	0	0.5914681999999999	0.0458775	pass	203	233				pass	1	0.90342423	0.03291941999999996	pass	185	233				pass	0	0.7343467999999999	0.032045300000000006	pass	192	233				pass	1	0.9596315999999999	0.02174935	fail	152
sub-142	233				pass	0	0.3016046	0.011581455000000004	pass	231	233				pass	0	0.57675827	0.019772999999999995	pass	224	233				pass	0	0.482235975	0.029317329999999905	pass	228	233				pass	0	0.7018281	0.012851310000000008	pass	228
sub-143	233				pass	0	0.4911987000000001	0.027557799999999997	pass	214	233				pass	0	0.37346035	0.03355279999999999	pass	222	233				pass	0	0.3603207000000001	0.015085835000000002	pass	222	233				pass	0	0.5220534499999999	0.0168124	pass	218
sub-144	233				pass	5	3.9277442000000002	0.03633184999999999	fail	151	233				pass	9	1.6090239999999998	0.05054384000000001	fail	158	233				pass	5	2.79255855	0.04775659999999999	fail	142	233				pass	15	1.81950655	0.06150959999999998	fail	105
sub-145	233				pass	5	1.2506750750000002	0.048063910000000036	fail	144	233				pass	0	0.7198305770000001	0.028422489999999995	pass	188	233				pass	0	0.63571745	0.03775943	pass	196	233				pass	0	0.8343489364999999	0.03267777	fail	155
sub-146	233				pass	0	0.7871549	0.01853065	pass	204	233				pass	0	0.84772605	0.019131050000000014	pass	192																				
sub-147	233				pass	4	1.14874775	0.033849981200000025	pass	184	233				pass	4	1.495578325	0.036474700000000006	pass	201	233				pass	2	1.0619557	0.009559649999999949	pass	185										
sub-148	233				pass	0	0.753993	0.03090145000000001	pass	202	233				pass	0	0.5266632200000001	0.032809899999999996	pass	206	233				pass	0	0.751213015	0.022186000000000008	pass	190	233				pass	0	0.63292591	0.03134735	pass	186
sub-149	233				pass	10	1.7487990000000002	0.030775689000000005	fail	174	233				pass	10	1.4908200499999995	0.037256100000000035	fail	159	233				pass	31	1.75326115	0.04641549999999992	fail	98	233				pass	16	1.8485856	0.04003589999999998	fail	130
sub-150	233				pass	6	4.0773423	0.06227049999999997	fail	152	233				pass	5	1.321394245	0.03291900000000016	fail	143	233				pass	0	0.8530156900000001	0.046213800000000034	fail	167	233				pass	0	0.84243635	0.031574249999999984	pass	197
sub-151	233				pass	0	0.426951105	0.009293300499999987	pass	225	233				pass	0	0.5882341889999999	0.017026999999999994	pass	216	233				pass	5	1.77517255	0.04108	pass	178	233				pass	3	0.986751275	0.0234208	pass	182
sub-152	233				pass	2	1.10709515	0.011245200000000021	fail	172	233				pass	1	1.6390060640000002	0.009905249999999977	pass	208	233				pass	0	0.837526	0.005904629999999982	pass	209	233				pass	5	1.66637395	0.01928960000000001	fail	168
sub-153	233				pass	0	0.22399615	0.0139464	pass	232	233				pass	0	0.24353200000000005	0.02183229	pass	232	233				pass	0	0.2505042	0.007951980000000006	pass	232	233				pass	0	0.4683204000000001	0.018439299999999968	pass	229
sub-154	233				pass	0	0.4552648000000001	0.02735625400000001	pass	225	233				pass	0	0.51006268	0.0366943971	pass	210	233				pass	0	0.38408785	0.02316110000000001	pass	226	233				pass	1	0.91761945	0.02159631	pass	210
sub-156	233				pass	0	0.7909296999999998	0.017916600000000015	fail	161	233				pass	6	1.18837855	0.012553990000000013	fail	131	233				pass	11	1.5010389	0.016686999999999886	fail	132	233				pass	2	1.3811304700000002	0.018323255000000004	fail	132
sub-157	233				pass	7	1.5743364999999998	0.04123965000000001	fail	156	233				pass	1	1.1147646999999998	0.0240465	pass	194	233				pass	3	1.29547015	0.03448285	pass	189	233				pass	3	1.2297915299999995	0.04042487	pass	180
sub-159	233				pass	1	0.90858855	0.03727755	pass	177	233				pass	1	0.96238515	0.031329705500000006	pass	183	233				pass	1	0.9078101999999999	0.029757449999999994	fail	166	233				pass	6	1.2452164499999998	0.033813450000000016	fail	127
sub-160	233				pass	3	1.14279645	0.03101809999999995	fail	166	233				pass	3	1.0070481	0.041265429999999985	fail	166	233				pass	1	1.1176766000000002	0.012430269999999995	fail	171	233				pass	1	1.04024575	0.039855945	fail	156
sub-161																																								
sub-162	233				pass	1	0.9629577750000002	0.03012499999999995	pass	215	233				pass	0	0.6649814500000001	0.02415759	pass	209	233				pass	1	1.5681028000000001	0.02063429999999997	pass	197	233				pass	0	0.6779917500000001	0.0417119135	pass	198
sub-163	233				pass	0	0.2629902	0.010450664999999987	pass	232	233				pass	0	0.35915795	0.02096168	pass	229	233				pass	0	0.45145070000000004	0.01887772	pass	225	233				pass	0	0.7520673000000001	0.01806235	pass	204
sub-164	233				pass	0	0.674133	0.029249630000000006	pass	220	233				pass	0	0.5664996649999999	0.025745950000000024	pass	216	233				pass	0	0.5580143999999999	0.02597182499999996	pass	214	233				pass	0	0.7702033	0.01550550000000005	pass	216
sub-166	233				pass	0	0.3683666800000001	0.0142012	pass	229	233				pass	0	0.21456575	0.0057543600000000035	pass	232	233				pass	0	0.5646399000000001	0.02138300000000001	pass	225	233				pass	0	0.59136533	0.01718759499999999	pass	231
sub-167	233				pass	0	0.3559047	0.01392108	pass	230	233				pass	0	0.31935875	0.017678599999999992	pass	231	233				pass	2	2.841688	0.016269017200000003	pass	222	233				pass	6	3.4267703000000003	0.020498249999999992	pass	206
sub-168	233				pass	0	0.37639325	0.01213724999999998	pass	229	233				pass	0	0.522035978	0.0310399	pass	220	233				pass	0	0.55247023	0.0226712	pass	226	233				pass	0	0.7944222189999999	0.01763826999999995	pass	225
sub-169	233				pass	0	0.40369211	0.019556199999999992	pass	219	233				pass	0	0.39676885	0.016586349999999986	pass	226	233				pass	0	0.5143371	0.022239000000000047	pass	219	233				pass	0	0.46955555	0.015450250000000004	pass	221
sub-170	233				pass	16	5.011875	0.0190092	fail	128	233				pass	11	1.54496911	0.049471599999999984	fail	118	233				pass	20	1.75654482	0.05909520000000009	fail	101	233				pass	6	1.9607983	0.043405999999999986	fail	115
